2023-04-18 16:07:31.192 	Info 	38290024-2 	MoveToPosition Requested 	Position = 645
2023-04-18 16:07:31.264 	Info 	38290024 	Waiting
2023-04-18 16:07:31.801 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:31.804 	Info 	38290024-2 	MoveToPosition Requested 	Position = 653
2023-04-18 16:07:31.889 	Info 	38290024 	Waiting
2023-04-18 16:07:32.395 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:32.403 	Info 	38290024-2 	MoveToPosition Requested 	Position = 661
2023-04-18 16:07:32.463 	Info 	38290024 	Waiting
2023-04-18 16:07:32.978 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:32.979 	Info 	38290024-2 	MoveToPosition Requested 	Position = 669
2023-04-18 16:07:33.062 	Info 	38290024 	Waiting
2023-04-18 16:07:33.580 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:33.584 	Info 	38290024-2 	MoveToPosition Requested 	Position = 677
2023-04-18 16:07:33.639 	Info 	38290024 	Waiting
2023-04-18 16:07:34.145 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
